"Name","Path","HasClass","HasMain","HasRequests","HasRetry","HasTimeout","RuntimeContractOK","RuntimeError","Lines"
"agastya_agent.py","C:\ShadowEmpire-Git\agents\agastya\agastya_agent.py","True","True","False","True","True","True","","31"
"agent_control_plane_001_agent.py","C:\ShadowEmpire-Git\agents\agent_control_plane_001\agent_control_plane_001_agent.py","True","True","False","True","True","True","","31"
"agent_control_plane_002_agent.py","C:\ShadowEmpire-Git\agents\agent_control_plane_002\agent_control_plane_002_agent.py","True","True","False","True","True","True","","31"
"agent_control_plane_003_agent.py","C:\ShadowEmpire-Git\agents\agent_control_plane_003\agent_control_plane_003_agent.py","True","True","False","True","True","True","","31"
"agent_control_plane_004_agent.py","C:\ShadowEmpire-Git\agents\agent_control_plane_004\agent_control_plane_004_agent.py","True","True","False","True","True","True","","31"
"agent_control_plane_005_agent.py","C:\ShadowEmpire-Git\agents\agent_control_plane_005\agent_control_plane_005_agent.py","True","True","False","True","True","True","","31"
"agent_evolution_001_agent.py","C:\ShadowEmpire-Git\agents\agent_evolution_001\agent_evolution_001_agent.py","True","True","False","True","True","True","","31"
"agent_evolution_002_agent.py","C:\ShadowEmpire-Git\agents\agent_evolution_002\agent_evolution_002_agent.py","True","True","False","True","True","True","","31"
"agent_evolution_003_agent.py","C:\ShadowEmpire-Git\agents\agent_evolution_003\agent_evolution_003_agent.py","True","True","False","True","True","True","","31"
"agent_evolution_004_agent.py","C:\ShadowEmpire-Git\agents\agent_evolution_004\agent_evolution_004_agent.py","True","True","False","True","True","True","","31"
"agent_evolution_005_agent.py","C:\ShadowEmpire-Git\agents\agent_evolution_005\agent_evolution_005_agent.py","True","True","False","True","True","True","","31"
"agent_governance_001_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_001\agent_governance_001_agent.py","True","True","False","True","True","True","","31"
"agent_governance_002_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_002\agent_governance_002_agent.py","True","True","False","True","True","True","","31"
"agent_governance_003_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_003\agent_governance_003_agent.py","True","True","False","True","True","True","","31"
"agent_governance_004_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_004\agent_governance_004_agent.py","True","True","False","True","True","True","","31"
"agent_governance_005_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_005\agent_governance_005_agent.py","True","True","False","True","True","True","","31"
"agent_governance_006_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_006\agent_governance_006_agent.py","True","True","False","True","True","True","","31"
"agent_governance_007_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_007\agent_governance_007_agent.py","True","True","False","True","True","True","","31"
"agent_governance_008_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_008\agent_governance_008_agent.py","True","True","False","True","True","True","","31"
"agent_governance_009_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_009\agent_governance_009_agent.py","True","True","False","True","True","True","","31"
"agent_governance_010_agent.py","C:\ShadowEmpire-Git\agents\agent_governance_010\agent_governance_010_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_001_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_001\agent_kernel_001_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_002_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_002\agent_kernel_002_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_003_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_003\agent_kernel_003_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_004_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_004\agent_kernel_004_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_005_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_005\agent_kernel_005_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_006_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_006\agent_kernel_006_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_007_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_007\agent_kernel_007_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_008_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_008\agent_kernel_008_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_009_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_009\agent_kernel_009_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_010_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_010\agent_kernel_010_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_011_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_011\agent_kernel_011_agent.py","True","True","False","True","True","True","","31"
"agent_kernel_012_agent.py","C:\ShadowEmpire-Git\agents\agent_kernel_012\agent_kernel_012_agent.py","True","True","False","True","True","True","","31"
"agent_media_001_agent.py","C:\ShadowEmpire-Git\agents\agent_media_001\agent_media_001_agent.py","True","True","False","True","True","True","","31"
"agent_media_002_agent.py","C:\ShadowEmpire-Git\agents\agent_media_002\agent_media_002_agent.py","True","True","False","True","True","True","","31"
"agent_media_003_agent.py","C:\ShadowEmpire-Git\agents\agent_media_003\agent_media_003_agent.py","True","True","False","True","True","True","","31"
"agent_media_004_agent.py","C:\ShadowEmpire-Git\agents\agent_media_004\agent_media_004_agent.py","True","True","False","True","True","True","","31"
"agent_media_005_agent.py","C:\ShadowEmpire-Git\agents\agent_media_005\agent_media_005_agent.py","True","True","False","True","True","True","","31"
"agent_media_006_agent.py","C:\ShadowEmpire-Git\agents\agent_media_006\agent_media_006_agent.py","True","True","False","True","True","True","","31"
"agent_media_007_agent.py","C:\ShadowEmpire-Git\agents\agent_media_007\agent_media_007_agent.py","True","True","False","True","True","True","","31"
"agent_media_008_agent.py","C:\ShadowEmpire-Git\agents\agent_media_008\agent_media_008_agent.py","True","True","False","True","True","True","","31"
"agent_media_009_agent.py","C:\ShadowEmpire-Git\agents\agent_media_009\agent_media_009_agent.py","True","True","False","True","True","True","","31"
"agent_media_010_agent.py","C:\ShadowEmpire-Git\agents\agent_media_010\agent_media_010_agent.py","True","True","False","True","True","True","","31"
"agent_media_011_agent.py","C:\ShadowEmpire-Git\agents\agent_media_011\agent_media_011_agent.py","True","True","False","True","True","True","","31"
"agent_media_012_agent.py","C:\ShadowEmpire-Git\agents\agent_media_012\agent_media_012_agent.py","True","True","False","True","True","True","","31"
"agent_media_013_agent.py","C:\ShadowEmpire-Git\agents\agent_media_013\agent_media_013_agent.py","True","True","False","True","True","True","","31"
"agent_media_014_agent.py","C:\ShadowEmpire-Git\agents\agent_media_014\agent_media_014_agent.py","True","True","False","True","True","True","","31"
"agent_media_015_agent.py","C:\ShadowEmpire-Git\agents\agent_media_015\agent_media_015_agent.py","True","True","False","True","True","True","","31"
"agent_media_016_agent.py","C:\ShadowEmpire-Git\agents\agent_media_016\agent_media_016_agent.py","True","True","False","True","True","True","","31"
"agent_media_017_agent.py","C:\ShadowEmpire-Git\agents\agent_media_017\agent_media_017_agent.py","True","True","False","True","True","True","","31"
"agent_media_018_agent.py","C:\ShadowEmpire-Git\agents\agent_media_018\agent_media_018_agent.py","True","True","False","True","True","True","","31"
"agent_media_019_agent.py","C:\ShadowEmpire-Git\agents\agent_media_019\agent_media_019_agent.py","True","True","False","True","True","True","","31"
"agent_media_020_agent.py","C:\ShadowEmpire-Git\agents\agent_media_020\agent_media_020_agent.py","True","True","False","True","True","True","","31"
"agent_plugin_runtime_001_agent.py","C:\ShadowEmpire-Git\agents\agent_plugin_runtime_001\agent_plugin_runtime_001_agent.py","True","True","False","True","True","True","","31"
"agent_plugin_runtime_002_agent.py","C:\ShadowEmpire-Git\agents\agent_plugin_runtime_002\agent_plugin_runtime_002_agent.py","True","True","False","True","True","True","","31"
"agent_plugin_runtime_003_agent.py","C:\ShadowEmpire-Git\agents\agent_plugin_runtime_003\agent_plugin_runtime_003_agent.py","True","True","False","True","True","True","","31"
"agent_plugin_runtime_004_agent.py","C:\ShadowEmpire-Git\agents\agent_plugin_runtime_004\agent_plugin_runtime_004_agent.py","True","True","False","True","True","True","","31"
"agent_recovery_001_agent.py","C:\ShadowEmpire-Git\agents\agent_recovery_001\agent_recovery_001_agent.py","True","True","False","True","True","True","","31"
"agent_recovery_002_agent.py","C:\ShadowEmpire-Git\agents\agent_recovery_002\agent_recovery_002_agent.py","True","True","False","True","True","True","","31"
"agent_recovery_003_agent.py","C:\ShadowEmpire-Git\agents\agent_recovery_003\agent_recovery_003_agent.py","True","True","False","True","True","True","","31"
"agent_recovery_004_agent.py","C:\ShadowEmpire-Git\agents\agent_recovery_004\agent_recovery_004_agent.py","True","True","False","True","True","True","","31"
"agent_recovery_005_agent.py","C:\ShadowEmpire-Git\agents\agent_recovery_005\agent_recovery_005_agent.py","True","True","False","True","True","True","","31"
"agent_recovery_006_agent.py","C:\ShadowEmpire-Git\agents\agent_recovery_006\agent_recovery_006_agent.py","True","True","False","True","True","True","","31"
"agent_recovery_007_agent.py","C:\ShadowEmpire-Git\agents\agent_recovery_007\agent_recovery_007_agent.py","True","True","False","True","True","True","","31"
"agent_recovery_008_agent.py","C:\ShadowEmpire-Git\agents\agent_recovery_008\agent_recovery_008_agent.py","True","True","False","True","True","True","","31"
"agent_research_001_agent.py","C:\ShadowEmpire-Git\agents\agent_research_001\agent_research_001_agent.py","True","True","False","True","True","True","","31"
"agent_research_002_agent.py","C:\ShadowEmpire-Git\agents\agent_research_002\agent_research_002_agent.py","True","True","False","True","True","True","","31"
"agent_research_003_agent.py","C:\ShadowEmpire-Git\agents\agent_research_003\agent_research_003_agent.py","True","True","False","True","True","True","","31"
"agent_research_004_agent.py","C:\ShadowEmpire-Git\agents\agent_research_004\agent_research_004_agent.py","True","True","False","True","True","True","","31"
"agent_research_005_agent.py","C:\ShadowEmpire-Git\agents\agent_research_005\agent_research_005_agent.py","True","True","False","True","True","True","","31"
"agent_research_006_agent.py","C:\ShadowEmpire-Git\agents\agent_research_006\agent_research_006_agent.py","True","True","False","True","True","True","","31"
"agent_research_007_agent.py","C:\ShadowEmpire-Git\agents\agent_research_007\agent_research_007_agent.py","True","True","False","True","True","True","","31"
"agent_research_008_agent.py","C:\ShadowEmpire-Git\agents\agent_research_008\agent_research_008_agent.py","True","True","False","True","True","True","","31"
"agent_research_009_agent.py","C:\ShadowEmpire-Git\agents\agent_research_009\agent_research_009_agent.py","True","True","False","True","True","True","","31"
"agent_research_010_agent.py","C:\ShadowEmpire-Git\agents\agent_research_010\agent_research_010_agent.py","True","True","False","True","True","True","","31"
"agent_research_011_agent.py","C:\ShadowEmpire-Git\agents\agent_research_011\agent_research_011_agent.py","True","True","False","True","True","True","","31"
"agent_research_012_agent.py","C:\ShadowEmpire-Git\agents\agent_research_012\agent_research_012_agent.py","True","True","False","True","True","True","","31"
"agent_research_013_agent.py","C:\ShadowEmpire-Git\agents\agent_research_013\agent_research_013_agent.py","True","True","False","True","True","True","","31"
"agent_research_014_agent.py","C:\ShadowEmpire-Git\agents\agent_research_014\agent_research_014_agent.py","True","True","False","True","True","True","","31"
"agent_research_015_agent.py","C:\ShadowEmpire-Git\agents\agent_research_015\agent_research_015_agent.py","True","True","False","True","True","True","","31"
"agent_research_016_agent.py","C:\ShadowEmpire-Git\agents\agent_research_016\agent_research_016_agent.py","True","True","False","True","True","True","","31"
"agent_research_017_agent.py","C:\ShadowEmpire-Git\agents\agent_research_017\agent_research_017_agent.py","True","True","False","True","True","True","","31"
"agent_research_018_agent.py","C:\ShadowEmpire-Git\agents\agent_research_018\agent_research_018_agent.py","True","True","False","True","True","True","","31"
"agni_agent.py","C:\ShadowEmpire-Git\agents\agni\agni_agent.py","True","True","False","True","True","True","","31"
"arjuna_agent.py","C:\ShadowEmpire-Git\agents\arjuna\arjuna_agent.py","True","True","False","True","True","True","","31"
"aruna_agent.py","C:\ShadowEmpire-Git\agents\aruna\aruna_agent.py","True","True","False","True","True","True","","31"
"brahma_agent.py","C:\ShadowEmpire-Git\agents\brahma\brahma_agent.py","True","True","False","True","True","True","","31"
"chanakya_agent.py","C:\ShadowEmpire-Git\agents\chanakya\chanakya_agent.py","True","True","False","True","True","True","","31"
"durga_agent.py","C:\ShadowEmpire-Git\agents\durga\durga_agent.py","True","True","False","True","True","True","","31"
"ganesha_agent.py","C:\ShadowEmpire-Git\agents\ganesha\ganesha_agent.py","True","True","False","True","True","True","","31"
"garuda_agent.py","C:\ShadowEmpire-Git\agents\garuda\garuda_agent.py","True","True","False","True","True","True","","31"
"hanuman_agent.py","C:\ShadowEmpire-Git\agents\hanuman\hanuman_agent.py","True","True","False","True","True","True","","31"
"indra_agent.py","C:\ShadowEmpire-Git\agents\indra\indra_agent.py","True","True","False","True","True","True","","31"
"kama_agent.py","C:\ShadowEmpire-Git\agents\kama\kama_agent.py","True","True","False","True","True","True","","31"
"krishna_agent.py","C:\ShadowEmpire-Git\agents\krishna\krishna_agent.py","True","True","False","True","True","True","","31"
"kubera_agent.py","C:\ShadowEmpire-Git\agents\kubera\kubera_agent.py","True","True","False","True","True","True","","31"
"maya_agent.py","C:\ShadowEmpire-Git\agents\maya\maya_agent.py","True","True","False","True","True","True","","31"
"narada_agent.py","C:\ShadowEmpire-Git\agents\narada\narada_agent.py","True","True","True","True","True","True","","191"
"nataraja_agent.py","C:\ShadowEmpire-Git\agents\nataraja\nataraja_agent.py","True","True","False","True","True","True","","31"
"parashara_agent.py","C:\ShadowEmpire-Git\agents\parashara\parashara_agent.py","True","True","False","True","True","True","","31"
"ravana_agent.py","C:\ShadowEmpire-Git\agents\ravana\ravana_agent.py","True","True","False","True","True","True","","31"
"saraswati_agent.py","C:\ShadowEmpire-Git\agents\saraswati\saraswati_agent.py","True","True","False","True","True","True","","31"
"shakti_agent.py","C:\ShadowEmpire-Git\agents\shakti\shakti_agent.py","True","True","False","True","True","True","","31"
"shiva_agent.py","C:\ShadowEmpire-Git\agents\shiva\shiva_agent.py","True","True","False","True","True","True","","31"
"tumburu_agent.py","C:\ShadowEmpire-Git\agents\tumburu\tumburu_agent.py","True","True","False","True","True","True","","31"
"valmiki_agent.py","C:\ShadowEmpire-Git\agents\valmiki\valmiki_agent.py","True","True","False","True","True","True","","31"
"varuna_agent.py","C:\ShadowEmpire-Git\agents\varuna\varuna_agent.py","True","True","False","True","True","True","","31"
"vishnu_agent.py","C:\ShadowEmpire-Git\agents\vishnu\vishnu_agent.py","True","True","False","True","True","True","","31"
"vishwakarma_agent.py","C:\ShadowEmpire-Git\agents\vishwakarma\vishwakarma_agent.py","True","True","False","True","True","True","","31"
"vyasa_agent.py","C:\ShadowEmpire-Git\agents\vyasa\vyasa_agent.py","True","True","False","True","True","True","","31"
"yama_agent.py","C:\ShadowEmpire-Git\agents\yama\yama_agent.py","True","True","False","True","True","True","","31"
"yudhishthira_agent.py","C:\ShadowEmpire-Git\agents\yudhishthira\yudhishthira_agent.py","True","True","False","True","True","True","","31"
